そして25日夜から微熱が4日間続いた。	そして25日の夜から微熱が4日続きました。
今日は、ジオ耐性後の悪性腫瘍の増悪時のCTと今日のCTの結果を印刷してもらった。	今日は、ジオ耐性後の増悪時のCTと今日のCT結果を印刷して貰いました。
原発の悪性腫瘍がかなり縮小した。	原発巣プックリがかなり小さくなったぞ。
現在の副作用は舌炎である。	現在の副作用は、舌炎が少し辛いかな。
前回処方された漢方薬「半夏厚朴湯エキス顆粒」は、口内炎にはよく効いたが、舌炎にはどうも効かない。	前回処方してくれた漢方の『半夏厚朴湯エキス顆粒』ですが、口内炎にはバッチリ効いたのですが、舌炎にはどうも。
それに、血小板減少症が出始めたようだ。	あと、血小板が下がり始めたようです。
最近倦怠感が著しいのは、血小板減少症のせいだろうか。	最近の倦怠感がヒドイのは、血小板のせいなのか。
アバスチンは前回も投与していたが、肝機能障害が出たため断念した。	アバスチンは前回もしているのですが肝臓数値が上がり断念しています。
先週投与した抗がん剤の副作用が2日前から出現し、現在、吐き気と倦怠感に悩まされている。	ちなみに現在は先週投与した抗がん剤の副作用が2日前から出ており、吐気と倦怠感に悩まされております。
放射線は20回中12回を終了し、10回目あたりから食道炎と背中の照射痕の赤みが増している。	放射線は20回中12回を終了し10回目あたりから食道炎と背中にうっすら照射痕の赤みが増し増しです。
2週間ほどで通院治療に切り替えるつもりだったが、白血球減少症や食道炎等の副作用が出始めたため、あと2週間入院することになった。	２週間ほどで通院にするつもりでしたが白血球が下がってきたのと食道炎など副作用が出始め毎日通院も結構大変だわねと思いあと二週間おとなしく監獄のお姫様です。
胸膜播種を含め肺癌が拡大しているとのことだった。	胸膜播種を含め肺部分の病巣が拡大しているとのことでした。
腹部のリンパ節転移も少し拡大しているようだ。	腹部リンパ節への転移も少し大きくなっているようです。
悪性腫瘍は腸骨部分では変化がなかった。	腸骨部分は変化なしでした。
白血球減少症もなかった。	白血球も問題なく。
アレルギー反応も出ず、シスプラチン投与は無事に終了。	アレルギー反応もなく無事シスプラチンは終了。
目立ったのは便秘と食欲不振である。	目立ったものは、便秘と食欲不振。
脱毛症が少し出ていた。	脱毛はほんの少し。
それ以外、口内炎や爪の障害等は無かった。	それ以外の、口内炎とか、爪とかはなし。
シスプラチン＋アリムタの時には吐き気に悩まされたが、幸い脱毛症は出ず、目立った身体的変化も無かった。	シスプラチン＋アリムタの時には、酷い嘔気に悩まされたのですが、幸い脱毛はなく目立った身体的変化もありませんでした。
3日目以降、想定内の嘔気と発熱により疲労感があったが、6日目には回復した。	3日目からは想定内の嘔気と熱発でグッタリでしたが、6日目となると元気になりました。
副作用は、嘔気と味覚障害が出ており、鎮痛剤と制吐剤の副作用である眠気が今日も出ている。	副作用は吐き気のほかに味覚障害も少しあり、痛み止めと吐き気止めの薬にある眠気が今日も出ています。
肺癌も1/2程度に縮小していた。	肺の方も１/2ほどになっていました。
レントゲン画像では胸水の増加がみられ、腫瘍マーカー異常も出ていた。	レントゲン上、胸水の増加と腫瘍マーカーCEAの上昇がみられました。
腫瘍マーカー異常は初めてである。	腫瘍マーカーが上がったのははじめて。
このように皮疹が出ているのに、この薬は効いていないのか。	こんなに皮疹もたくさんでてるのに、お前は効いていないの。
こんなに疼痛に耐えているのに。	こんなに痛いの耐えてるのにー。
投与後数日で頚部リンパ節腫脹が小さくなった。	投与後、数日で首のリンパの腫れが小さくなるという現象が起きました。
だが、悪性腫瘍の原発巣に効果はなく、ステロイド剤(デガドロン)を服用しないと解熱しないという状況で、効果は半分である。	でしたが、原発には効果は無くステロイド(デガドロン)を飲まなければ熱が下がらないという状況で効果は半分。
その前に脱毛症後の新たな副作用が現れた。	その前に脱毛後の新たな副作用が現れました。
両手の指腹に皮膚剥脱が発現。	両手の指腹の皮膚があっという間に剥けてしまいました。
爪から指腹の間に皮膚亀裂があり、痛い。	爪から指腹の間が縦に割れて痛いです。
看護師から医師に、指の軟膏と口腔内潰瘍のためのうがい薬を処方してもらえるように連絡しておくとのこと。	ナースさんからドクターに指の軟膏、口の中が荒れているのでうがい薬を出してもらえるように連絡しておきます。
1回目の筋肉痛、神経痛、不眠があったことも話した。	１回目の筋肉痛神経痛、２日間まったく眠れなかったことも話しました。
